seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 292,680312616301
seq_num: 1; position: (-0.96, 0.49, -0.68); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 305,047447447447
seq_num: 2; position: (-0.95, 0.46, -0.71); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 305,291925465839
seq_num: 3; position: (-1.02, 0.56, -0.72); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 327,357602361311
seq_num: 4; position: (-1.04, 0.56, -0.76); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 315,124267468069
seq_num: 5; position: (-0.89, 0.56, -0.85); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 306,127627514503
seq_num: 6; position: (-0.93, 0.61, -1.05); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 304,065853476016
seq_num: 7; position: (-0.96, 0.70, -1.03); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 308,920550444765
seq_num: 8; position: (-0.93, 0.70, -0.97); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 266,74301754386
seq_num: 9; position: (-0.85, 0.86, -0.99); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 332,223646936037
seq_num: 10; position: (-0.72, 0.78, -0.89); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 307,33166931397
seq_num: 11; position: (-0.62, 0.61, -0.87); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 308,451529643969
seq_num: 12; position: (-0.68, 0.58, -0.82); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 304,361947565543
seq_num: 13; position: (-0.74, 0.68, -0.77); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 320,849788591351
seq_num: 14; position: (-0.74, 0.71, -0.72); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 324,386980650967
seq_num: 15; position: (-0.44, 0.73, -0.43); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 311,080916709931
seq_num: 16; position: (-0.35, 0.69, -0.56); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 304,361947565543
seq_num: 17; position: (-0.37, 0.67, -0.58); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 298,320309536454
seq_num: 18; position: (-0.40, 0.68, -0.56); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 298,003789314134
seq_num: 19; position: (-0.46, 0.71, -0.63); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 303,679521674141
seq_num: 20; position: (-0.41, 0.35, -0.81); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 303,714989138306
seq_num: 21; position: (-0.38, 0.34, -0.88); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 291,163272861903
seq_num: 22; position: (-0.34, 0.36, -0.94); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 311,057846336399
seq_num: 23; position: (-0.32, 0.40, -1.00); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 304,293566988692
seq_num: 24; position: (-0.36, 0.44, -0.91); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 301,717680255439
seq_num: 25; position: (-0.14, 0.57, -0.90); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 317,798454311259
seq_num: 26; position: (-0.12, 0.53, -0.87); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 301,784907902555
seq_num: 27; position: (0.00, 0.54, -0.82); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 325,558934216468
seq_num: 28; position: (-0.05, 0.49, -0.87); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 306,081506591337
seq_num: 29; position: (-0.05, 0.49, -0.87); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 304,088609489597
seq_num: 30; position: (-0.04, 0.27, -0.78); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 312,517994188213
seq_num: 31; position: (-0.01, 0.28, -0.75); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 306,058451340765
seq_num: 32; position: (0.04, 0.29, -0.77); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 310,252533471411
seq_num: 33; position: (0.03, 0.27, -0.79); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 331,482296935436
seq_num: 34; position: (0.05, 0.38, -0.70); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 269,736585365854
seq_num: 35; position: (0.13, 0.42, -0.77); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 314,533483314586
seq_num: 36; position: (0.25, 0.41, -0.85); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 309,085044880572
seq_num: 37; position: (0.19, 0.34, -0.88); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 306,28916025931
seq_num: 38; position: (0.20, 0.32, -0.87); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 327,978161965423
seq_num: 39; position: (0.15, 0.31, -0.97); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 296,230224499021
seq_num: 40; position: (0.25, 0.19, -0.93); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 307,867252614032
seq_num: 41; position: (0.26, 0.16, -0.93); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 308,077337174919
seq_num: 42; position: (0.26, 0.16, -0.93); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 307,960588146127
seq_num: 43; position: (0.29, 0.18, -0.91); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 304,795739254369
seq_num: 44; position: (0.38, 0.11, -1.04); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 311,683312351378
seq_num: 45; position: (0.13, 0.00, -0.60); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 324,265387210436
seq_num: 46; position: (0.11, 0.06, -0.55); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 304,498800959233
seq_num: 47; position: (0.11, 0.06, -0.55); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 263,001189060642
seq_num: 48; position: (0.12, 0.06, -0.55); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 303,793046728972
seq_num: 49; position: (0.15, 0.06, -0.52); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 320,588200415061
seq_num: 50; position: (-0.03, 0.11, -0.44); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 300,957854973706
seq_num: 51; position: (0.03, 0.07, -0.38); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 304,990551403187
seq_num: 52; position: (0.03, 0.04, -0.37); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 327,580733111178
seq_num: 53; position: (0.04, 0.04, -0.37); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 306,127627514503
seq_num: 54; position: (0.00, 0.09, -0.30); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 297,080689029918
seq_num: 55; position: (-0.20, -0.12, -0.01); triangle_count: 2274; vertex_count: 6534; textures_count: 26; fps: 304,978758537867
seq_num: 56; position: (-0.26, 0.06, -0.07); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 305,024547706629
seq_num: 57; position: (-0.26, 0.06, -0.06); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 301,271656371211
seq_num: 58; position: (-0.25, 0.07, -0.06); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 331,729045704928
seq_num: 59; position: (-0.27, 0.25, -0.05); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 305,345457278124
seq_num: 60; position: (-0.43, 0.29, 0.14); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 312,844335048855
seq_num: 61; position: (-0.49, 0.38, 0.00); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 259,884999618699
seq_num: 62; position: (-0.52, 0.36, 0.03); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 305,828089718501
seq_num: 63; position: (-0.53, 0.36, 0.04); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 313,922795153564
seq_num: 64; position: (-0.55, 0.32, 0.00); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 325,216240601504
seq_num: 65; position: (-0.38, 0.20, -0.04); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 297,462743021409
seq_num: 66; position: (-0.32, 0.20, -0.16); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 302,954965702356
seq_num: 67; position: (-0.38, 0.26, -0.18); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 301,292599733056
seq_num: 68; position: (-0.40, 0.25, -0.16); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 297,485247389923
seq_num: 69; position: (-0.39, 0.30, -0.10); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 301,270260250612
seq_num: 70; position: (-0.45, 0.33, -0.15); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 327,878714372347
seq_num: 71; position: (-0.42, 0.33, -0.25); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 305,529137529138
seq_num: 72; position: (-0.59, 0.31, -0.18); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 304,772877287729
seq_num: 73; position: (-0.57, 0.31, -0.18); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 314,722293089217
seq_num: 74; position: (-0.60, 0.25, -0.18); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 284,49128059277
seq_num: 75; position: (-0.76, 0.10, -0.28); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 312,006546157852
seq_num: 76; position: (-0.65, 0.01, -0.23); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 322,212157330155
seq_num: 77; position: (-0.84, -0.06, -0.35); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 299,456248572081
seq_num: 78; position: (-0.75, 0.11, -0.31); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 308,615524836701
seq_num: 79; position: (-0.85, 0.27, -0.27); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 298,932644062643
seq_num: 80; position: (-1.02, 0.30, -0.09); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 313,405365015318
seq_num: 81; position: (-0.87, 0.41, -0.06); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 328,900920082123
seq_num: 82; position: (-0.87, 0.41, -0.05); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 305,230769230769
seq_num: 83; position: (-0.87, 0.43, -0.05); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 301,695277695278
seq_num: 84; position: (-0.83, 0.50, -0.13); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 298,61482381531
seq_num: 85; position: (-0.96, 0.57, -0.22); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 303,838480520452
seq_num: 86; position: (-0.96, 0.57, -0.22); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 309,390999771568
seq_num: 87; position: (-1.06, 0.62, -0.10); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 327,198825256975
seq_num: 88; position: (-1.03, 0.69, -0.14); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 215,369631787288
seq_num: 89; position: (-0.92, 0.72, -0.12); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 302,391307583538
seq_num: 90; position: (-0.92, 0.92, -0.10); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 313,241523525019
seq_num: 91; position: (-0.89, 0.88, -0.06); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 296,230224499021
seq_num: 92; position: (-0.87, 0.90, -0.07); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 304,887221430179
seq_num: 93; position: (-0.79, 0.96, -0.09); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 313,525256789081
seq_num: 94; position: (-0.79, 0.96, -0.09); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 330,670624026119
seq_num: 95; position: (-0.80, 0.97, -0.18); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 312,634466308885
seq_num: 96; position: (-0.82, 1.04, -0.14); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 308,21755290905
seq_num: 97; position: (-0.79, 1.03, -0.11); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 304,065853476016
seq_num: 98; position: (-0.90, 0.99, -0.06); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 302,571449847345
seq_num: 99; position: (-0.85, 0.94, 0.06); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 307,965539337843
seq_num: 100; position: (-0.70, 0.66, 0.23); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 321,01647617634
seq_num: 101; position: (-0.79, 0.63, 0.28); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 267,980009086779
seq_num: 102; position: (-0.79, 0.63, 0.27); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 309,603169765315
seq_num: 103; position: (-0.81, 0.61, 0.28); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 300,890995260663
seq_num: 104; position: (-0.92, 0.58, 0.35); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 302,887215803205
seq_num: 105; position: (-0.99, 0.83, 0.36); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 327,011113631209
seq_num: 106; position: (-0.93, 0.89, 0.43); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 303,067949578578
seq_num: 107; position: (-0.86, 0.97, 0.41); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 307,05297362654
seq_num: 108; position: (-0.84, 0.94, 0.46); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 307,261947973382
seq_num: 109; position: (-0.86, 0.92, 0.52); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 314,415592203898
seq_num: 110; position: (-0.61, 0.79, 0.65); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 313,522499626252
seq_num: 111; position: (-0.59, 0.80, 0.68); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 319,206933600745
seq_num: 112; position: (-0.60, 0.82, 0.71); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 330,965317489788
seq_num: 113; position: (-0.54, 0.89, 0.77); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 319,858461069168
seq_num: 114; position: (-0.68, 0.70, 0.78); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 277,463975202238
seq_num: 115; position: (-0.55, 0.48, 0.86); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 308,007277137659
seq_num: 116; position: (-0.53, 0.50, 0.85); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 306,01235125772
seq_num: 117; position: (-0.44, 0.49, 0.83); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 324,947487040793
seq_num: 118; position: (-0.48, 0.44, 0.80); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 304,020351664796
seq_num: 119; position: (-0.48, 0.40, 0.73); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 301,874591381872
seq_num: 120; position: (-0.68, 0.43, 0.68); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 297,800666464708
seq_num: 121; position: (-0.74, 0.38, 0.67); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 306,497095873878
seq_num: 122; position: (-0.78, 0.33, 0.60); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 333,641386538893
seq_num: 123; position: (-0.84, 0.28, 0.65); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 304,020351664796
seq_num: 124; position: (-0.88, 0.23, 0.60); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 306,96018735363
seq_num: 125; position: (-0.82, 0.13, 0.47); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 321,565385473199
seq_num: 126; position: (-0.82, 0.13, 0.47); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 306,173762338935
seq_num: 127; position: (-0.81, 0.12, 0.47); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 283,177233107353
seq_num: 128; position: (-0.69, 0.11, 0.43); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 300,000286102568
seq_num: 129; position: (-0.85, 0.05, 0.37); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 325,142900097722
seq_num: 130; position: (-0.78, 0.15, 0.93); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 307,680751173709
seq_num: 131; position: (-0.70, 0.02, 0.90); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 313,592822429907
seq_num: 132; position: (-0.65, -0.02, 0.92); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 305,414311485268
seq_num: 133; position: (-0.61, -0.10, 0.89); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 309,038028597505
seq_num: 134; position: (-0.52, 0.11, 0.89); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 326,764070408703
seq_num: 135; position: (-0.29, 0.38, 0.62); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 310,36732277638
seq_num: 136; position: (-0.29, 0.38, 0.61); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 306,797946239807
seq_num: 137; position: (-0.25, 0.36, 0.58); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 305,575092126043
seq_num: 138; position: (-0.26, 0.34, 0.58); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 304,727163641818
seq_num: 139; position: (-0.22, 0.41, 0.56); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 291,352042233954
seq_num: 140; position: (-0.27, 0.55, 0.61); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 326,591362126246
seq_num: 141; position: (-0.29, 0.60, 0.62); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 303,952124476361
seq_num: 142; position: (-0.23, 0.62, 0.57); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 307,680751173709
seq_num: 143; position: (-0.26, 0.63, 0.53); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 309,81563095692
seq_num: 144; position: (-0.19, 0.68, 0.50); triangle_count: 3030; vertex_count: 8708; textures_count: 26; fps: 306,96018735363
seq_num: 145; position: (-0.10, 0.86, 0.76); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 306,199631884468
seq_num: 146; position: (-0.20, 0.96, 0.74); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 329,201309079839
seq_num: 147; position: (-0.27, 0.92, 0.78); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 244,009233747859
seq_num: 148; position: (-0.30, 0.89, 0.86); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 313,616270375355
seq_num: 149; position: (-0.30, 0.81, 0.95); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 316,407966203983
seq_num: 150; position: (-0.19, 0.86, 0.95); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 307,354916792738
seq_num: 151; position: (-0.03, 0.83, 0.88); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 308,972670349908
seq_num: 152; position: (0.02, 0.80, 0.96); triangle_count: 1896; vertex_count: 5447; textures_count: 26; fps: 285,581367392938
