seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 1998; vertex_count: 5556; textures_count: 26; fps: 301,874591381872
seq_num: 1; position: (-0.96, 0.49, -0.68); triangle_count: 1998; vertex_count: 5556; textures_count: 26; fps: 299,958806926539
seq_num: 2; position: (-0.95, 0.46, -0.71); triangle_count: 1998; vertex_count: 5556; textures_count: 26; fps: 315,361203007519
seq_num: 3; position: (-1.02, 0.56, -0.72); triangle_count: 1998; vertex_count: 5556; textures_count: 26; fps: 338,019417475728
seq_num: 4; position: (-1.04, 0.56, -0.76); triangle_count: 1998; vertex_count: 5556; textures_count: 26; fps: 311,150148367953
seq_num: 5; position: (-0.89, 0.56, -0.85); triangle_count: 1251; vertex_count: 3477; textures_count: 26; fps: 315,266386049308
seq_num: 6; position: (-0.93, 0.61, -1.05); triangle_count: 1251; vertex_count: 3477; textures_count: 26; fps: 311,960133878765
seq_num: 7; position: (-0.96, 0.70, -1.03); triangle_count: 1251; vertex_count: 3477; textures_count: 26; fps: 316,21712907117
seq_num: 8; position: (-0.93, 0.70, -0.97); triangle_count: 1251; vertex_count: 3477; textures_count: 26; fps: 311,245304742031
seq_num: 9; position: (-0.85, 0.86, -0.99); triangle_count: 1251; vertex_count: 3477; textures_count: 26; fps: 309,768392162842
seq_num: 10; position: (-0.72, 0.78, -0.89); triangle_count: 1251; vertex_count: 3477; textures_count: 26; fps: 306,797946239807
seq_num: 11; position: (-0.62, 0.61, -0.87); triangle_count: 1251; vertex_count: 3477; textures_count: 26; fps: 308,100697603882
seq_num: 12; position: (-0.68, 0.58, -0.82); triangle_count: 1251; vertex_count: 3477; textures_count: 26; fps: 275,775172828374
seq_num: 13; position: (-0.74, 0.68, -0.77); triangle_count: 1251; vertex_count: 3477; textures_count: 26; fps: 316,455711483326
seq_num: 14; position: (-0.74, 0.71, -0.72); triangle_count: 1251; vertex_count: 3477; textures_count: 26; fps: 319,138355771985
seq_num: 15; position: (-0.44, 0.73, -0.43); triangle_count: 1251; vertex_count: 3477; textures_count: 26; fps: 324,801081324623
seq_num: 16; position: (-0.35, 0.69, -0.56); triangle_count: 1998; vertex_count: 5556; textures_count: 26; fps: 315,290084943246
seq_num: 17; position: (-0.37, 0.67, -0.58); triangle_count: 1998; vertex_count: 5556; textures_count: 26; fps: 313,522499626252
seq_num: 18; position: (-0.40, 0.68, -0.56); triangle_count: 1251; vertex_count: 3477; textures_count: 26; fps: 317,293592556169
seq_num: 19; position: (-0.46, 0.71, -0.63); triangle_count: 1251; vertex_count: 3477; textures_count: 26; fps: 316,981862152358
seq_num: 20; position: (-0.41, 0.35, -0.81); triangle_count: 1500; vertex_count: 4170; textures_count: 26; fps: 316,002712273036
seq_num: 21; position: (-0.38, 0.34, -0.88); triangle_count: 1251; vertex_count: 3477; textures_count: 26; fps: 288,23926110541
seq_num: 22; position: (-0.34, 0.36, -0.94); triangle_count: 1251; vertex_count: 3477; textures_count: 26; fps: 307,122600151172
