seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 6958200; vertex_count: 11070144; textures_count: 21; fps: 4,18354705463577
seq_num: 1; position: (-0.96, 0.49, -0.68); triangle_count: 6958198; vertex_count: 11070140; textures_count: 22; fps: 70,6611408740187
seq_num: 2; position: (-0.95, 0.46, -0.71); triangle_count: 6958198; vertex_count: 11070140; textures_count: 22; fps: 102,296241605084
seq_num: 3; position: (-1.02, 0.56, -0.72); triangle_count: 6958198; vertex_count: 11070140; textures_count: 22; fps: 113,086021650332
seq_num: 4; position: (-1.04, 0.56, -0.76); triangle_count: 6958198; vertex_count: 11070140; textures_count: 22; fps: 113,80865035003
seq_num: 5; position: (-0.89, 0.56, -0.85); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 128,401495813042
seq_num: 6; position: (-0.93, 0.61, -1.05); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 59,4566714686427
seq_num: 7; position: (-0.96, 0.70, -1.03); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 128,880108727767
seq_num: 8; position: (-0.93, 0.70, -0.97); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 128,134154881585
seq_num: 9; position: (-0.85, 0.86, -0.99); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 116,895932814329
seq_num: 10; position: (-0.72, 0.78, -0.89); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 128,031858889165
seq_num: 11; position: (-0.62, 0.61, -0.87); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 127,745399254509
seq_num: 12; position: (-0.68, 0.58, -0.82); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 126,237936702706
seq_num: 13; position: (-0.74, 0.68, -0.77); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 125,807732685443
seq_num: 14; position: (-0.74, 0.71, -0.72); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 126,45399729123
seq_num: 15; position: (-0.44, 0.73, -0.43); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 126,536165156691
seq_num: 16; position: (-0.35, 0.69, -0.56); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 127,24427206579
seq_num: 17; position: (-0.37, 0.67, -0.58); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 126,806308925241
seq_num: 18; position: (-0.40, 0.68, -0.56); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 126,869449485783
seq_num: 19; position: (-0.46, 0.71, -0.63); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 126,696111235036
seq_num: 20; position: (-0.41, 0.35, -0.81); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 124,989574641714
seq_num: 21; position: (-0.38, 0.34, -0.88); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 126,198201200742
seq_num: 22; position: (-0.34, 0.36, -0.94); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 126,174839059022
seq_num: 23; position: (-0.32, 0.40, -1.00); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 125,620782763356
seq_num: 24; position: (-0.36, 0.44, -0.91); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 124,91970455087
seq_num: 25; position: (-0.14, 0.57, -0.90); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 126,387753872115
seq_num: 26; position: (-0.12, 0.53, -0.87); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 126,055243714109
seq_num: 27; position: (0.00, 0.54, -0.82); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 115,897300807317
seq_num: 28; position: (-0.05, 0.49, -0.87); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 125,398905294145
seq_num: 29; position: (-0.05, 0.49, -0.87); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 126,814566733184
seq_num: 30; position: (-0.04, 0.27, -0.78); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 124,464036741644
seq_num: 31; position: (-0.01, 0.28, -0.75); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 123,146793383502
seq_num: 32; position: (0.04, 0.29, -0.77); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 124,595433522842
seq_num: 33; position: (0.03, 0.27, -0.79); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 123,975589570089
seq_num: 34; position: (0.05, 0.38, -0.70); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 123,610781891138
seq_num: 35; position: (0.13, 0.42, -0.77); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 124,760783811241
seq_num: 36; position: (0.25, 0.41, -0.85); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 125,799315239159
seq_num: 37; position: (0.19, 0.34, -0.88); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 124,702576112412
seq_num: 38; position: (0.20, 0.32, -0.87); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 125,649151753412
seq_num: 39; position: (0.15, 0.31, -0.97); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 123,160144920989
seq_num: 40; position: (0.25, 0.19, -0.93); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 125,765076553324
seq_num: 41; position: (0.26, 0.16, -0.93); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 125,754054502851
seq_num: 42; position: (0.26, 0.16, -0.93); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 115,679408682222
seq_num: 43; position: (0.29, 0.18, -0.91); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 124,814474334792
seq_num: 44; position: (0.38, 0.11, -1.04); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 125,938783617735
seq_num: 45; position: (0.13, 0.00, -0.60); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 121,307881926832
seq_num: 46; position: (0.11, 0.06, -0.55); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 121,098814018567
seq_num: 47; position: (0.11, 0.06, -0.55); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 121,081603467725
seq_num: 48; position: (0.12, 0.06, -0.55); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 122,18207893015
seq_num: 49; position: (0.15, 0.06, -0.52); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 121,709714285714
seq_num: 50; position: (-0.03, 0.11, -0.44); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 123,00122717101
seq_num: 51; position: (0.03, 0.07, -0.38); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 127,536539954904
seq_num: 52; position: (0.03, 0.04, -0.37); triangle_count: 4348876; vertex_count: 6918842; textures_count: 22; fps: 128,801867092495
