seq_num: 0; position: (-0.96, 0.47, -0.64); triangle_count: 8679560; vertex_count: 14802880; textures_count: 19; fps: 3,40675160456605
seq_num: 1; position: (-0.96, 0.49, -0.68); triangle_count: 8679558; vertex_count: 14802876; textures_count: 30; fps: 52,838962445987
seq_num: 2; position: (-0.95, 0.46, -0.71); triangle_count: 8679558; vertex_count: 14802876; textures_count: 26; fps: 71,0786040353757
seq_num: 3; position: (-1.02, 0.56, -0.72); triangle_count: 8679558; vertex_count: 14802876; textures_count: 26; fps: 71,6090640192241
seq_num: 4; position: (-1.04, 0.56, -0.76); triangle_count: 8679558; vertex_count: 14802876; textures_count: 26; fps: 70,3229019088417
seq_num: 5; position: (-0.89, 0.56, -0.85); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 88,510871374743
seq_num: 6; position: (-0.93, 0.61, -1.05); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 87,5303172274476
seq_num: 7; position: (-0.96, 0.70, -1.03); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 87,7667757568656
seq_num: 8; position: (-0.93, 0.70, -0.97); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 87,8585148923424
seq_num: 9; position: (-0.85, 0.86, -0.99); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 86,9758086256164
seq_num: 10; position: (-0.72, 0.78, -0.89); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 87,1409694924832
seq_num: 11; position: (-0.62, 0.61, -0.87); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 87,2742405673039
seq_num: 12; position: (-0.68, 0.58, -0.82); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 79,379444346312
seq_num: 13; position: (-0.74, 0.68, -0.77); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 86,063133012689
seq_num: 14; position: (-0.74, 0.71, -0.72); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 86,576174906701
seq_num: 15; position: (-0.44, 0.73, -0.43); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 85,1974389807924
seq_num: 16; position: (-0.35, 0.69, -0.56); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 85,7906320310902
seq_num: 17; position: (-0.37, 0.67, -0.58); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 86,4880241578877
seq_num: 18; position: (-0.40, 0.68, -0.56); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 86,3550673248935
seq_num: 19; position: (-0.46, 0.71, -0.63); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 85,744331144565
seq_num: 20; position: (-0.41, 0.35, -0.81); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 86,2042856496915
seq_num: 21; position: (-0.38, 0.34, -0.88); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 85,6749734455429
seq_num: 22; position: (-0.34, 0.36, -0.94); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 86,5161716171617
seq_num: 23; position: (-0.32, 0.40, -1.00); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 86,6437781716472
seq_num: 24; position: (-0.36, 0.44, -0.91); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 85,3291668701073
seq_num: 25; position: (-0.14, 0.57, -0.90); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 85,5229900291581
seq_num: 26; position: (-0.12, 0.53, -0.87); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 86,0437121252528
seq_num: 27; position: (0.00, 0.54, -0.82); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 85,930891493991
seq_num: 28; position: (-0.05, 0.49, -0.87); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 85,4021387673989
seq_num: 29; position: (-0.05, 0.49, -0.87); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 85,8570136043003
seq_num: 30; position: (-0.04, 0.27, -0.78); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 85,5650565541628
seq_num: 31; position: (-0.01, 0.28, -0.75); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 90,3574829272496
seq_num: 32; position: (0.04, 0.29, -0.77); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 85,485610761357
seq_num: 33; position: (0.03, 0.27, -0.79); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 91,7353210066095
seq_num: 34; position: (0.05, 0.38, -0.70); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 91,0882453861957
seq_num: 35; position: (0.13, 0.42, -0.77); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 90,8400689589452
seq_num: 36; position: (0.25, 0.41, -0.85); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 91,539915407011
seq_num: 37; position: (0.19, 0.34, -0.88); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 91,3791721132898
seq_num: 38; position: (0.20, 0.32, -0.87); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 91,4349494244855
seq_num: 39; position: (0.15, 0.31, -0.97); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 91,3656364634433
seq_num: 40; position: (0.25, 0.19, -0.93); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 90,3423022909182
seq_num: 41; position: (0.26, 0.16, -0.93); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 91,7036311481145
seq_num: 42; position: (0.26, 0.16, -0.93); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 91,5634960137619
seq_num: 43; position: (0.29, 0.18, -0.91); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 91,2185955877236
seq_num: 44; position: (0.38, 0.11, -1.04); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 91,5171456749609
seq_num: 45; position: (0.13, 0.00, -0.60); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 91,9892270306784
seq_num: 46; position: (0.11, 0.06, -0.55); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 92,7065522027814
seq_num: 47; position: (0.11, 0.06, -0.55); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 92,6483945643146
seq_num: 48; position: (0.12, 0.06, -0.55); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 92,6885237207082
seq_num: 49; position: (0.15, 0.06, -0.52); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 92,8124059551417
seq_num: 50; position: (-0.03, 0.11, -0.44); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 93,2208422606083
seq_num: 51; position: (0.03, 0.07, -0.38); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 93,9314891787301
seq_num: 52; position: (0.03, 0.04, -0.37); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 93,3013008737743
seq_num: 53; position: (0.04, 0.04, -0.37); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 94,1279544699683
seq_num: 54; position: (0.00, 0.09, -0.30); triangle_count: 5424726; vertex_count: 9251802; textures_count: 26; fps: 93,1943296449362
seq_num: 55; position: (-0.20, -0.12, -0.01); triangle_count: 6509670; vertex_count: 11102160; textures_count: 26; fps: 89,1772643515237
seq_num: 56; position: (-0.26, 0.06, -0.07); triangle_count: 8679558; vertex_count: 14802876; textures_count: 26; fps: 77,4128199922482
seq_num: 57; position: (-0.26, 0.06, -0.06); triangle_count: 8679558; vertex_count: 14802876; textures_count: 26; fps: 76,7583038998591
seq_num: 58; position: (-0.25, 0.07, -0.06); triangle_count: 8679558; vertex_count: 14802876; textures_count: 26; fps: 78,246101037236
seq_num: 59; position: (-0.27, 0.25, -0.05); triangle_count: 8679558; vertex_count: 14802876; textures_count: 26; fps: 77,9175924205833
